SMILES	Solvent	Reactivity Parameters	SMARTS
CC1(N(C(C(=N1)SCC#N)(C)C)C=CC1=CC=CC=C1)C	MeCN	N Parameter: 7.74 s N Parameter: 0.87	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
O([Si](C)(C)C(C)(C)C)N(C(=C)C)O[Si](C)(C)C(C)(C)C	dichloromethane	N Parameter: 4.23 s N Parameter: 0.93	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C[Si](ON(C(=C)C)O[Si](C)(C)C)(C)C	dichloromethane	N Parameter: 4.76 s N Parameter: 0.86	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
N1(CCCC1)C1=CCC2=CC=CC=C12	MeCN	N Parameter: 15.27 s N Parameter: 0.93	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
COC(CCC(=C)N(O[Si](C)(C)C)O[Si](C)(C)C)=O	dichloromethane	N Parameter: 3.84 s N Parameter: 0.87	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
CC1=CC=C(C=C1)S(=O)(=O)N(CC1=CC=CC=C1)C#CC1=CC=CC=C1	dichloromethane	N Parameter: 3.85 s N Parameter: 0.84	[$([CX3]([NX3])=[OX1]),$([S]([NX3])=[OX1])][NX3]([CX4,c])[CX2]#[CX2].[$([CX3]([NX3])=[OX1]),$([S]([NX3])=[OX1])][NX3H][CX2]#[CX2]
C=C(N1CCOCC1)c1ccccc1	dichloromethane	N Parameter: 9.96 s N Parameter: 0.79	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C=C(N1CCOCC1)c1ccccc1	MeCN	N Parameter: 10.30 s N Parameter: 0.80	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C=C(N1CCCCC1)c1ccccc1	MeCN	N Parameter: 11.60 s N Parameter: 0.80	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1(=CC=CC=C1)C(=C)NC(OCC1=CC=CC=C1)=O	MeCN	N Parameter: 6.21 s N Parameter: 0.87	[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3]([CX4,c])[CX3]=[CX3].[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3H][CX3]=[CX3]
CN(/C=C/C(=O)OCC)C	dichloromethane	N Parameter: 9.43 s N Parameter: 0.80	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
CCOC(=O)\C=C\N1CCOCC1	dichloromethane	N Parameter: 8.52 s N Parameter: 0.80	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1(=CCCCC1)N1[C@@H](CCC1)C(=O)OC	MeCN	N Parameter: 14.96 s N Parameter: 0.68	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
CC(C)=CN1CCOCC1	dichloromethane	N Parameter: 10.04 s N Parameter: 0.82	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
ClC1=CC=C(C=C1)C(=C)NC(C)=O	MeCN	N Parameter: 5.60 s N Parameter: 1.00	[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3]([CX4,c])[CX3]=[CX3].[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3H][CX3]=[CX3]
COC1=CC=C(C=C1)C(=C)NC(C)=O	MeCN	N Parameter: 7.06 s N Parameter: 0.85	[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3]([CX4,c])[CX3]=[CX3].[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3H][CX3]=[CX3]
C1=C(C=CC2=CC=CC=C12)C(=C)NC(C)=O	MeCN	N Parameter: 6.28 s N Parameter: 0.95	[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3]([CX4,c])[CX3]=[CX3].[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3H][CX3]=[CX3]
C1(=CC=C(C=C1)C(=C)NC(C)=O)C	MeCN	N Parameter: 6.57 s N Parameter: 0.91	[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3]([CX4,c])[CX3]=[CX3].[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3H][CX3]=[CX3]
C1(=CC=CC=C1)C(=C)NC(C)=O	MeCN	N Parameter: 5.73 s N Parameter: 0.97	[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3]([CX4,c])[CX3]=[CX3].[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3H][CX3]=[CX3]
C1(=CC=CC=C1)C(=C)NC(C1=CC=CC=C1)=O	MeCN	N Parameter: 5.44 s N Parameter: 1.00	[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3]([CX4,c])[CX3]=[CX3].[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3H][CX3]=[CX3]
CC(C(=C)NC(C)=O)(C)C	MeCN	N Parameter: 4.61 s N Parameter: 0.98	[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3]([CX4,c])[CX3]=[CX3].[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3H][CX3]=[CX3]
C1(=CCCC2=CC=CC=C12)NC(C)=O	MeCN	N Parameter: 4.91 s N Parameter: 0.87	[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3]([CX4,c])[CX3]=[CX3].[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3H][CX3]=[CX3]
C1(=CCCCC1)NC(C)=O	MeCN	N Parameter: 5.64 s N Parameter: 0.79	[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3]([CX4,c])[CX3]=[CX3].[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3H][CX3]=[CX3]
C1(=CCCC1)NC(C)=O	MeCN	N Parameter: 7.06 s N Parameter: 0.87	[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3]([CX4,c])[CX3]=[CX3].[$([CX3]([NX3])=[OX1]),$([CX3]([NX3])[S]=[OX1])][NX3H][CX3]=[CX3]
C(C1=CC=CC=C1)N(S(=O)(=O)C1=CC=C(C=C1)C)C#CC1=C(C=CC=C1)OC	dichloromethane	N Parameter: 4.40 s N Parameter: 0.86	[$([CX3]([NX3])=[OX1]),$([S]([NX3])=[OX1])][NX3]([CX4,c])[CX2]#[CX2].[$([CX3]([NX3])=[OX1]),$([S]([NX3])=[OX1])][NX3H][CX2]#[CX2]
C(C1=CC=CC=C1)N(S(=O)(=O)C1=CC=C(C=C1)C)C#CCC	dichloromethane	N Parameter: 5.16 s N Parameter: 0.85	[$([CX3]([NX3])=[OX1]),$([S]([NX3])=[OX1])][NX3]([CX4,c])[CX2]#[CX2].[$([CX3]([NX3])=[OX1]),$([S]([NX3])=[OX1])][NX3H][CX2]#[CX2]
C(=C)N1C2=CC=CC=C2C=2C=CC=CC12	dichloromethane	N Parameter: 5.02 s N Parameter: 0.94	[n][CX3]([#6])=[CX3].[n][CX3H]=[CX3]
[O-]C(=Cc1ccccc1)c1ccccc1	DMSO	N Parameter: 23.15 s N Parameter: 0.6	[OX1-][CX3]([c])=[CX3H][c]
O=C([CH-]c1ccccc1)c1ccccc1	DMSO	N Parameter: 23.15 s N Parameter: 0.6	[OX1]=[CX3]([c])[CX3H-][c]
CC([O-])=Cc1ccccc1	DMSO	N Parameter: 24.99 s N Parameter: 0.6	[OX1-][CX3]([CX4])=[CX3H][c]
CC(=O)[CH-]c1ccccc1	DMSO	N Parameter: 24.99 s N Parameter: 0.6	[OX1]=[CX3]([CX4])[CX3H-][c]
CC([O-])=CC		N Parameter: 26 s N Parameter: 0.6	[OX1-][CX3]([CX4])=[CX3H][CX4]
CC(=O)[CH-]C		N Parameter: 26 s N Parameter: 0.6	[OX1]=[CX3]([CX4])[CX3H-][CX4]
CCCC([O-])=C		N Parameter: 26 s N Parameter: 0.6	[OX1-][CX3]([CX4])=[CX3H2]
CCCC(=O)[CH2-]		N Parameter: 26 s N Parameter: 0.6	[OX1]=[CX3]([CX4])[CX3H2-]
CCOC([O-])=C		N Parameter: 27 s N Parameter: 0.6	[OX1-][CX3]([OX2][CX4,c])=[CX3H2]
CCOC(=O)[CH2-]		N Parameter: 27 s N Parameter: 0.6	[OX1]=[CX3]([OX2][CX4,c])[CX3H2-]
CCOC([O-])=Cc1ccccc1		N Parameter: 25 s N Parameter: 0.6	[OX1-][CX3]([OX2][CX4,c])=[CX3H][c]
CCOC(=O)[CH-]c1ccccc1		N Parameter: 25 s N Parameter: 0.6	[OX1]=[CX3]([OX2][CX4,c])[CX3H-][c]
CCOC([O-])=CC		N Parameter: 28 s N Parameter: 0.6	[OX1-][CX3]([OX2][CX4,c])=[CX3H][CX4]
CCOC(=O)[CH-]C		N Parameter: 28 s N Parameter: 0.6	[OX1]=[CX3]([OX2][CX4,c])[CX3H-][CX4]
BrC1=CC=C(C=C1)C=[N+]=[N-]	dichloromethane	N Parameter: 8.87 s N Parameter: 0.82	[CX4,c,SiX4H0][CX3H]=[NX2+]=[NX1-]
C(#N)C1=CC=C(C=C1)C=[N+]=[N-]	dichloromethane	N Parameter: 7.66 s N Parameter: 0.80	[CX4,c,SiX4H0][CX3H]=[NX2+]=[NX1-]
[N+](=O)([O-])C1=CC=C(C=C1)C=[N+]=[N-]	dichloromethane	N Parameter: 7.17 s N Parameter: 0.83	[CX4,c,SiX4H0][CX3H]=[NX2+]=[NX1-]
C[Si](C)(C)C=[N+]=[N-]	dichloromethane	N Parameter: 8.97 s N Parameter: 0.75	[CX4,c,SiX4H0][CX3H]=[NX2+]=[NX1-]
CN(N=C)C	dichloromethane	N Parameter: 6.98 s N Parameter: 0.85	[CX3H2]=[NX2][NX3]
[N-]=[N+]=C1CCCC2=CC=CC=C2C1=O	dichloromethane	N Parameter: 2.72 s N Parameter: 0.96	[#6,SiX4H0,SX2H0,SeX2H0,NX3][CX3](=[NX2+]=[NX1-])[$([CX3]([CX3])=[OX1])]
[N+](=[N-])=C1C(C2=CC=CC=C2CC1)=O	dichloromethane	N Parameter: 3.51 s N Parameter: 0.86	[#6,SiX4H0,SX2H0,SeX2H0,NX3][CX3](=[NX2+]=[NX1-])[$([CX3]([CX3])=[OX1])]
[N+](=[N-])=C1SC2=C(C1=O)C=CC=C2	dichloromethane	N Parameter: 0.40 s N Parameter: 0.93	[#6,SiX4H0,SX2H0,SeX2H0,NX3][CX3](=[NX2+]=[NX1-])[$([CX3]([CX3])=[OX1])]
[N+](=[N-])=C1C(CCCC1)=O	dichloromethane	N Parameter: 3.44 s N Parameter: 0.83	[#6,SiX4H0,SX2H0,SeX2H0,NX3][CX3](=[NX2+]=[NX1-])[$([CX3]([CX3])=[OX1])]
[N+](=[N-])=C1C(C2=CC=CC=C2C1)=O	dichloromethane	N Parameter: 5.61 s N Parameter: 0.65	[#6,SiX4H0,SX2H0,SeX2H0,NX3][CX3](=[NX2+]=[NX1-])[$([CX3]([CX3])=[OX1])]
[N-]=[N+]=C1C(=O)C2=CC=CC=C2C1=O	dichloromethane	N Parameter: 0.16 s N Parameter: 0.86	[$([c]([c])=[OX1,SX1])][cX3](=[NX2+]=[NX1-])[$([c]([c])=[OX1,SX1])]
[N+](=[N-])=C1C(NC2=CC=CC=C12)=O	dichloromethane	N Parameter: 3.16 s N Parameter: 1.03	[#6,SiX4H0,SX2H0,SeX2H0,NX3][CX3](=[NX2+]=[NX1-])[$([CX3]([CX3])=[OX1])]
[N+](=[N-])=CC(C)=O	dichloromethane	N Parameter: 3.96 s N Parameter: 0.91	[CX3H](=[NX2+]=[NX1-])[$([CX3]([CX3])=[OX1])]
[N+](=[N-])=C1C=CC=C1	dichloromethane	N Parameter: 4.84 s N Parameter: 1.06	[N+](=[N-])=[CX3]1[CX3]=[CX3][CX3]=[CX3]1
[N+](=[N-])=C	dichloromethane	N Parameter: 10.48 s N Parameter: 0.78	[CX3H2]=[NX2+]=[NX1-]
[N+](=[N-])=C(C(=O)OCC)C(=O)OCC	dichloromethane	N Parameter: -0.35 s N Parameter: 0.93	[#6,SiX4H0,SX2H0,SeX2H0,NX3][CX3](=[NX2+]=[NX1-])[$([CX3]([CX3])=[OX1])]
C1(=CC=CC=C1)C(=[N+]=[N-])C1=CC=CC=C1	dichloromethane	N Parameter: 5.29 s N Parameter: 0.92	[#6,SiX4H0,SX2H0,SeX2H0,NX3][CX3](=[NX2+]=[NX1-])[c]
[N+](=[N-])=CC(=O)OCC	dichloromethane	N Parameter: 4.91 s N Parameter: 0.95	[CX3H](=[NX2+]=[NX1-])[$([CX3]([CX3])=[OX1])]
C=NN1CCCC1	dichloromethane	N Parameter: 7.84 s N Parameter: 0.89	[CX3H2]=[NX2][NX3]
C1(=CC=CC=C1)C=[N+]=[N-]	dichloromethane	N Parameter: 9.35 s N Parameter: 0.83	[CX4,c,SiX4H0][CX3H]=[NX2+]=[NX1-]
CC1=C(C(=CC=C1)C)[N+]#[C-]	dichloromethane	N Parameter: 4.59 s N Parameter: 0.87	[#6][NX2+]#[CX1-]
C(#N)C1=CC=C(C=C1)[N+]#[C-]	dichloromethane	N Parameter: 3.57 s N Parameter: 0.72	[#6][NX2+]#[CX1-]
C(C1=CC=CC=C1)[N+]#[C-]	dichloromethane	N Parameter: 4.90 s N Parameter: 0.74	[#6][NX2+]#[CX1-]
CC1=CC=C(C=C1)S(=O)(=O)C[N+]#[C-]	dichloromethane	N Parameter: 3.50 s N Parameter: 0.76	[#6][NX2+]#[CX1-]
C(C)(C)(C)[N+]#[C-]	dichloromethane	N Parameter: 5.47 s N Parameter: 0.77	[#6][NX2+]#[CX1-]
C1(=CC=C(C=C1)C(=C)[Si](C)(C)C)C	dichloromethane	N Parameter: -0.65 s N Parameter: 1.59	[SiX4H0][CX3H]=[CX3].[Si][CX3]([#6,F,Cl])=[CX3]
CC(=C)[Si](C)(C)[Si](C)(C)C	dichloromethane	N Parameter: -0.26 s N Parameter: 0.95	[SiX4H0][CX3H]=[CX3].[Si][CX3]([#6,F,Cl])=[CX3]
C[Si](C(=C)C)(C)C	dichloromethane	N Parameter: -1.46 s N Parameter: 1.05	[SiX4H0][CX3H]=[CX3].[Si][CX3]([#6,F,Cl])=[CX3]
C[Si](C)(C)[Si](C(=C)C)([Si](C)(C)C)[Si](C)(C)C	dichloromethane	N Parameter: -0.31 s N Parameter: 0.99	[SiX4H0][CX3H]=[CX3].[Si][CX3]([#6,F,Cl])=[CX3]
C[Si](C)(C)[Si](C)(C)C(=C)c1ccccc1	dichloromethane	N Parameter: 0.61 s N Parameter: 1.01	[SiX4H0][CX3H]=[CX3].[Si][CX3]([#6,F,Cl])=[CX3]
C[Si](C(=C)C1=CC=CC=C1)(C)C	dichloromethane	N Parameter: -1.13 s N Parameter: 1.46	[SiX4H0][CX3H]=[CX3].[Si][CX3]([#6,F,Cl])=[CX3]
C[Si](C=CC1=CC=CC=C1)(C)C	dichloromethane	N Parameter: -0.43 s N Parameter: 1.06	[SiX4H0][CX3H]=[CX3].[Si][CX3]([#6,F,Cl])=[CX3]
CC(C)(C)NC(=O)C(CCc1ccccc1)O[PH](=O)c1ccccc1		N Parameter: 12 s N Parameter: 0.7	[CX4,c][PX4H](=[OX1])[OX2][CX4,c]
